Task,Category
lead the 1-on-1 in room b,Work
troubleshoot the new feature in production,Work
read the code this afternoon,Work
read the report tomorrow,Work
fix the payment gateway asap,Work
troubleshoot the login bug before release,Work
optimize the backend logic before release,Work
attend the meeting in the boardroom,Work
debug the database urgently,Work
test the database during the maintenance window,Work
fix the frontend during the maintenance window,Work
proofread the proposal today,Work
attend sprint planning with the team,Work
cancel the interview in the boardroom,Work
join the 1-on-1 with the manager,Work
send the report before lunch,Work
attend the standup at 10 am,Work
outline the code end of week,Work
outline the specs tomorrow,Work
attend the sync with stakeholders,Work
proofread the documentation this afternoon,Work
schedule the interview in room b,Work
troubleshoot the memory leak on staging,Work
outline the contract today,Work
debug the memory leak in production,Work
review the email before lunch,Work
review the email end of week,Work
refactor the api for the next patch,Work
prepare the presentation today,Work
host the brainstorming session in the boardroom,Work
read the contract by friday,Work
cancel the retro via zoom,Work
outline the specs by friday,Work
outline the proposal today,Work
lead the brainstorming session in room b,Work
prepare the proposal by eod,Work
reschedule sprint planning via zoom,Work
lead the interview on teams,Work
debug the backend logic urgently,Work
optimize the payment gateway during the maintenance window,Work
prepare the contract by eod,Work
draft the email by friday,Work
optimize the backend logic for the next patch,Work
lead sprint planning on teams,Work
send the specs end of week,Work
finalize the presentation asap,Work
deploy the frontend for the next patch,Work
reschedule the client call with the team,Work
send the summary asap,Work
finalize the email by eod,Work
finalize the release notes today,Work
review the documentation asap,Work
prepare the presentation before lunch,Work
test the new feature for the next patch,Work
join the standup in room b,Work
optimize the backend logic tonight,Work
organize the meeting at 10 am,Work
organize the standup at 10 am,Work
optimize the server for the next patch,Work
test the server on staging,Work
read the presentation by friday,Work
monitor the login bug during the maintenance window,Work
lead the standup with the team,Work
proofread the proposal by eod,Work
attend the meeting with stakeholders,Work
prepare the report before lunch,Work
schedule the client call with the team,Work
debug the frontend urgently,Work
test the database tonight,Work
write the release notes tomorrow,Work
outline the specs by eod,Work
troubleshoot the server tonight,Work
prepare the proposal today,Work
host the sync with the manager,Work
troubleshoot the payment gateway asap,Work
read the email today,Work
draft the documentation by friday,Work
deploy the backend logic tonight,Work
update the release notes asap,Work
cancel the brainstorming session via zoom,Work
attend the client call at 10 am,Work
host the 1-on-1 in room b,Work
write the documentation asap,Work
refactor the new feature for the next patch,Work
finalize the contract next week,Work
send the summary by eod,Work
read the summary this afternoon,Work
refactor the database during the maintenance window,Work
cancel the interview with the team,Work
outline the summary next week,Work
send the contract by friday,Work
join the brainstorming session at 10 am,Work
finalize the documentation end of week,Work
draft the documentation end of week,Work
prepare the email asap,Work
update the presentation asap,Work
review the email next week,Work
attend the meeting with the manager,Work
schedule sprint planning on teams,Work
write the presentation end of week,Work
read the specs by friday,Work
join sprint planning with stakeholders,Work
cancel the sync with stakeholders,Work
draft the contract today,Work
write the release notes end of week,Work
troubleshoot the frontend before release,Work
proofread the specs end of week,Work
send the summary tomorrow,Work
lead the brainstorming session with the manager,Work
outline the summary this afternoon,Work
proofread the code tomorrow,Work
read the documentation next week,Work
host the sync at 10 am,Work
cancel the sync in the boardroom,Work
proofread the contract asap,Work
troubleshoot the backend logic tonight,Work
finalize the presentation today,Work
host the meeting with the team,Work
optimize the backend logic during the maintenance window,Work
cancel the 1-on-1 with stakeholders,Work
finalize the specs asap,Work
schedule the interview on teams,Work
prepare the summary urgently,Work
host the retro with the manager,Work
optimize the memory leak for the next patch,Work
deploy the server asap,Work
send the summary end of week,Work
join the meeting at 10 am,Work
outline the code before lunch,Work
outline the documentation asap,Work
join the retro on teams,Work
schedule the brainstorming session on teams,Work
monitor the api in production,Work
update the documentation by friday,Work
send the documentation by friday,Work
finalize the documentation by friday,Work
read the specs this afternoon,Work
organize the sync with the team,Work
send the presentation by friday,Work
cancel the brainstorming session with the manager,Work
organize the standup with the team,Work
deploy the database tonight,Work
prepare the email tomorrow,Work
deploy the login bug during the maintenance window,Work
organize the standup in the boardroom,Work
attend sprint planning at 10 am,Work
organize the sync on teams,Work
debug the server on staging,Work
write the email next week,Work
test the payment gateway asap,Work
draft the summary end of week,Work
cancel the client call with stakeholders,Work
finalize the specs tomorrow,Work
read the specs before lunch,Work
outline the documentation this afternoon,Work
draft the summary tomorrow,Work
update the email before lunch,Work
join the meeting with the manager,Work
proofread the summary today,Work
troubleshoot the login bug during the maintenance window,Work
review the proposal urgently,Work
draft the documentation by eod,Work
host the sync in room b,Work
prepare the code this afternoon,Work
outline the documentation next week,Work
test the server in production,Work
test the database before release,Work
reschedule the interview with the manager,Work
read the code before lunch,Work
send the email tomorrow,Work
test the backend logic asap,Work
fix the new feature during the maintenance window,Work
outline the proposal end of week,Work
schedule the 1-on-1 in the boardroom,Work
test the new feature during the maintenance window,Work
schedule the interview at 10 am,Work
host sprint planning with the manager,Work
read the email asap,Work
test the memory leak on staging,Work
proofread the presentation end of week,Work
join the brainstorming session via zoom,Work
write the report before lunch,Work
deploy the memory leak before release,Work
review the contract today,Work
finalize the email asap,Work
read the report by friday,Work
fix the frontend in production,Work
monitor the login bug urgently,Work
optimize the new feature for the next patch,Work
attend the sync with the team,Work
lead the retro with stakeholders,Work
write the code asap,Work
outline the documentation by eod,Work
outline the documentation urgently,Work
update the documentation end of week,Work
update the summary end of week,Work
monitor the database for the next patch,Work
debug the server tonight,Work
reschedule the 1-on-1 with stakeholders,Work
outline the summary end of week,Work
optimize the server asap,Work
review the report asap,Work
monitor the payment gateway in production,Work
attend the interview on teams,Work
update the code by eod,Work
send the contract next week,Work
join sprint planning with the team,Work
deploy the api on staging,Work
schedule the retro on teams,Work
optimize the login bug asap,Work
read the report end of week,Work
debug the backend logic before release,Work
organize the meeting with the manager,Work
attend the 1-on-1 on teams,Work
draft the presentation by friday,Work
review the report by friday,Work
draft the specs tomorrow,Work
send the presentation this afternoon,Work
join the interview online,Work
send the specs urgently,Work
proofread the specs next week,Work
test the api asap,Work
join the brainstorming session in the boardroom,Work
reschedule sprint planning with the manager,Work
deploy the server urgently,Work
update the report before lunch,Work
refactor the new feature in production,Work
attend the sync online,Work
attend sprint planning on teams,Work
cancel the 1-on-1 in the boardroom,Work
debug the frontend on staging,Work
test the backend logic on staging,Work
proofread the contract urgently,Work
test the new feature asap,Work
attend the interview in the boardroom,Work
refactor the database urgently,Work
optimize the server tonight,Work
cancel the interview with stakeholders,Work
cancel sprint planning in the boardroom,Work
reschedule the interview in room b,Work
proofread the summary urgently,Work
monitor the login bug for the next patch,Work
reschedule the sync with stakeholders,Work
prepare the summary today,Work
review the documentation urgently,Work
finalize the summary before lunch,Work
review the contract by friday,Work
send the specs today,Work
write the contract end of week,Work
read the summary before lunch,Work
outline the release notes tomorrow,Work
proofread the release notes end of week,Work
proofread the presentation urgently,Work
read the specs next week,Work
proofread the presentation next week,Work
draft the email this afternoon,Work
fix the frontend tonight,Work
lead the meeting on teams,Work
fix the api before release,Work
update the report tomorrow,Work
test the frontend in production,Work
finalize the contract by eod,Work
outline the release notes today,Work
host the brainstorming session online,Work
fix the api urgently,Work
write the contract today,Work
attend the 1-on-1 with the manager,Work
join the sync with the manager,Work
outline the documentation by friday,Work
review the presentation next week,Work
write the presentation by eod,Work
refactor the login bug on staging,Work
finalize the code asap,Work
attend the retro with the manager,Work
attend sprint planning in the boardroom,Work
lead the sync via zoom,Work
review the code by friday,Work
join sprint planning in room b,Work
lead the interview with the manager,Work
lead the brainstorming session online,Work
write the summary asap,Work
join the standup at 10 am,Work
proofread the proposal urgently,Work
send the documentation today,Work
optimize the payment gateway before release,Work
update the report asap,Work
draft the code next week,Work
write the proposal end of week,Work
host the standup via zoom,Work
schedule the retro with stakeholders,Work
schedule the client call online,Work
test the login bug for the next patch,Work
write the presentation today,Work
debug the new feature in production,Work
finalize the specs urgently,Work
fix the login bug on staging,Work
deploy the database before release,Work
test the login bug before release,Work
draft the code by friday,Work
write the summary this afternoon,Work
optimize the api in production,Work
schedule the brainstorming session in the boardroom,Work
update the code today,Work
fix the memory leak for the next patch,Work
finalize the contract by friday,Work
finalize the email tomorrow,Work
debug the login bug in production,Work
finalize the presentation by friday,Work
read the proposal urgently,Work
write the documentation end of week,Work
reschedule the client call online,Work
update the summary today,Work
finalize the email this afternoon,Work
test the server during the maintenance window,Work
read the code next week,Work
debug the server in production,Work
test the frontend asap,Work
cancel the standup on teams,Work
deploy the new feature for the next patch,Work
test the payment gateway tonight,Work
proofread the report asap,Work
lead the retro via zoom,Work
outline the contract urgently,Work
proofread the documentation by friday,Work
finalize the release notes this afternoon,Work
reschedule the standup online,Work
write the report today,Work
write the code urgently,Work
refactor the memory leak for the next patch,Work
review the documentation this afternoon,Work
draft the summary by friday,Work
proofread the email next week,Work
lead the standup with the manager,Work
deploy the new feature in production,Work
fix the server for the next patch,Work
proofread the proposal tomorrow,Work
lead the standup at 10 am,Work
proofread the specs by eod,Work
lead the standup with stakeholders,Work
schedule the interview with stakeholders,Work
optimize the new feature before release,Work
optimize the api asap,Work
review the presentation by friday,Work
monitor the server during the maintenance window,Work
draft the report this afternoon,Work
monitor the api during the maintenance window,Work
host the interview at 10 am,Work
proofread the summary by friday,Work
join the client call at 10 am,Work
monitor the database during the maintenance window,Work
test the server before release,Work
test the server urgently,Work
optimize the new feature in production,Work
monitor the payment gateway urgently,Work
troubleshoot the server during the maintenance window,Work
reschedule the 1-on-1 with the manager,Work
test the api before release,Work
troubleshoot the server urgently,Work
host the interview with stakeholders,Work
cancel the client call via zoom,Work
refactor the api before release,Work
monitor the server in production,Work
deploy the database in production,Work
lead the meeting online,Work
prepare the proposal this afternoon,Work
draft the summary before lunch,Work
review the documentation before lunch,Work
draft the code before lunch,Work
debug the database tonight,Work
draft the proposal tomorrow,Work
prepare the release notes this afternoon,Work
update the release notes by friday,Work
write the documentation urgently,Work
host the meeting on teams,Work
outline the report next week,Work
join the standup on teams,Work
read the release notes this afternoon,Work
attend the meeting online,Work
draft the specs end of week,Work
finalize the contract urgently,Work
organize the sync online,Work
write the summary tomorrow,Work
schedule the 1-on-1 with the team,Work
update the report this afternoon,Work
organize the 1-on-1 with stakeholders,Work
send the documentation next week,Work
review the release notes today,Work
optimize the new feature tonight,Work
troubleshoot the new feature before release,Work
draft the contract by eod,Work
send the proposal today,Work
draft the contract before lunch,Work
outline the email by friday,Work
organize the 1-on-1 with the team,Work
deploy the memory leak urgently,Work
refactor the backend logic asap,Work
troubleshoot the payment gateway for the next patch,Work
monitor the memory leak for the next patch,Work
update the report next week,Work
read the email tomorrow,Work
review the contract asap,Work
update the release notes tomorrow,Work
review the proposal by eod,Work
host the client call with stakeholders,Work
review the code today,Work
reschedule the interview at 10 am,Work
refactor the frontend before release,Work
host the standup in room b,Work
review the specs today,Work
reschedule the retro in the boardroom,Work
read the code asap,Work
debug the database for the next patch,Work
read the documentation tomorrow,Work
monitor the new feature for the next patch,Work
refactor the database asap,Work
proofread the documentation end of week,Work
attend the retro on teams,Work
update the proposal end of week,Work
refactor the memory leak urgently,Work
cancel the 1-on-1 online,Work
finalize the report by friday,Work
optimize the memory leak tonight,Work
outline the specs before lunch,Work
schedule the client call with stakeholders,Work
optimize the frontend tonight,Work
send the contract before lunch,Work
test the login bug asap,Work
prepare the report asap,Work
send the proposal this afternoon,Work
lead sprint planning with stakeholders,Work
schedule the standup at 10 am,Work
join sprint planning online,Work
monitor the backend logic asap,Work
lead the retro in the boardroom,Work
debug the memory leak on staging,Work
send the code before lunch,Work
host the brainstorming session with the team,Work
troubleshoot the memory leak asap,Work
reschedule the standup at 10 am,Work
troubleshoot the api in production,Work
reschedule the meeting online,Work
attend the sync via zoom,Work
deploy the database on staging,Work
read the release notes before lunch,Work
send the presentation urgently,Work
debug the frontend in production,Work
send the presentation tomorrow,Work
schedule the 1-on-1 on teams,Work
prepare the proposal asap,Work
cancel the 1-on-1 on teams,Work
host sprint planning with the team,Work
host the retro at 10 am,Work
finalize the proposal urgently,Work
read the summary urgently,Work
write the specs before lunch,Work
lead the client call via zoom,Work
schedule the brainstorming session via zoom,Work
outline the email next week,Work
attend the 1-on-1 via zoom,Work
reschedule the meeting at 10 am,Work
draft the presentation by eod,Work
host the interview in room b,Work
test the payment gateway on staging,Work
finalize the release notes next week,Work
review the code end of week,Work
monitor the database on staging,Work
organize the standup with the manager,Work
troubleshoot the payment gateway in production,Work
organize the meeting on teams,Work
proofread the code urgently,Work
finalize the email today,Work
schedule the client call via zoom,Work
test the payment gateway in production,Work
reschedule the brainstorming session at 10 am,Work
schedule the standup online,Work
cancel the sync in room b,Work
deploy the server tonight,Work
update the summary this afternoon,Work
lead the client call in room b,Work
finalize the release notes before lunch,Work
draft the documentation today,Work
attend the standup in the boardroom,Work
fix the server urgently,Work
cancel sprint planning online,Work
join the client call in room b,Work
monitor the memory leak in production,Work
prepare the email end of week,Work
send the release notes next week,Work
send the specs by friday,Work
draft the code by eod,Work
lead the standup via zoom,Work
deploy the new feature before release,Work
schedule the brainstorming session with the manager,Work
cancel the 1-on-1 in room b,Work
schedule the brainstorming session online,Work
attend the 1-on-1 in room b,Work
join sprint planning at 10 am,Work
cancel the 1-on-1 with the manager,Work
draft the report urgently,Work
prepare the code next week,Work
get pasta and tea,Grocery
order snacks and beef,Grocery
stock up on some fish for the party,Grocery
buy some juice from keells,Grocery
order bread and apples,Grocery
buy some cheese for dinner,Grocery
pick up snacks and cereal,Grocery
pick up oil and tomatoes,Grocery
buy oil and potatoes,Grocery
pick up beef and garlic,Grocery
buy some onions at the market,Grocery
remember to pick up tomatoes for breakfast,Grocery
stock up on some coffee from the grocery store,Grocery
buy salt and sugar,Grocery
grab cheese and beef,Grocery
purchase milk and cheese,Grocery
purchase some milk for dinner,Grocery
buy potatoes and bananas,Grocery
stock up on pasta and milk,Grocery
purchase some cheese from keells,Grocery
grab chicken and tomatoes,Grocery
order some sugar from the grocery store,Grocery
purchase some juice for dinner,Grocery
buy some cheese for the party,Grocery
purchase some apples from cargills,Grocery
purchase onions and cereal,Grocery
buy detergent and eggs,Grocery
buy some water from keells,Grocery
grab some shampoo for the party,Grocery
get shampoo and potatoes,Grocery
pick up some pasta from cargills,Grocery
pick up some salt at the market,Grocery
purchase snacks and cheese,Grocery
grab some pasta online,Grocery
grab oil and coffee,Grocery
pick up shampoo and coffee,Grocery
stock up on sugar and rice,Grocery
grab salt and yogurt,Grocery
buy chicken and potatoes,Grocery
order onions and fish,Grocery
order some vegetables for dinner,Grocery
get rice and oil,Grocery
stock up on garlic and rice,Grocery
order some fruit from the local shop in veyangoda,Grocery
pick up beef and cereal,Grocery
purchase snacks and fruit,Grocery
stock up on some juice from keells,Grocery
stock up on soap and cheese,Grocery
get vegetables and bananas,Grocery
stock up on fish and rice,Grocery
grab vegetables and bananas,Grocery
stock up on snacks and shampoo,Grocery
buy some eggs online,Grocery
get some cheese online,Grocery
pick up some bread on the way home,Grocery
order some tea for the week,Grocery
remember to pick up pasta for lunch,Grocery
purchase some rice online,Grocery
stock up on some soap for the week,Grocery
pick up some detergent for the week,Grocery
stock up on bananas and fruit,Grocery
grab some garlic from the supermarket,Grocery
order some cheese from keells,Grocery
order some tomatoes online,Grocery
purchase some tea online,Grocery
buy sugar and butter,Grocery
grab some shampoo for dinner,Grocery
order some cheese at the market,Grocery
purchase some detergent for dinner,Grocery
get some tomatoes at the market,Grocery
purchase some bananas for the week,Grocery
stock up on some garlic from the supermarket,Grocery
get shampoo and flour,Grocery
stock up on some potatoes from the grocery store,Grocery
purchase snacks and chicken,Grocery
buy chicken and sugar,Grocery
order chicken and vegetables,Grocery
get coffee and beef,Grocery
get some yogurt from the grocery store,Grocery
purchase oil and butter,Grocery
stock up on chicken and pasta,Grocery
stock up on some detergent at the market,Grocery
order some shampoo at the market,Grocery
pick up fruit and coffee,Grocery
order flour and juice,Grocery
stock up on onions and milk,Grocery
purchase some bread for dinner,Grocery
grab some yogurt from cargills,Grocery
pick up some sugar from the local shop in veyangoda,Grocery
buy shampoo and sugar,Grocery
buy water and yogurt,Grocery
buy some eggs for meal prep,Grocery
purchase some pasta from the local shop in veyangoda,Grocery
grab bananas and snacks,Grocery
pick up soap and yogurt,Grocery
grab some chicken from cargills,Grocery
order some coffee from the supermarket,Grocery
stock up on some oil from the grocery store,Grocery
stock up on some bananas online,Grocery
order some flour on the way home,Grocery
pick up cheese and shampoo,Grocery
grab eggs and cereal,Grocery
remember to pick up shampoo for breakfast,Grocery
get apples and fruit,Grocery
grab some tea at the market,Grocery
stock up on some apples online,Grocery
purchase some sugar from keells,Grocery
get some garlic for meal prep,Grocery
grab some oil from the grocery store,Grocery
grab salt and water,Grocery
buy some fruit from keells,Grocery
remember to pick up pasta for breakfast,Grocery
get some oil at the market,Grocery
get some garlic for the party,Grocery
remember to buy apples for lunch,Grocery
pick up fruit and oil,Grocery
get chicken and vegetables,Grocery
grab flour and shampoo,Grocery
order fish and yogurt,Grocery
remember to pick up vegetables for dinner,Grocery
pick up some tea online,Grocery
buy some garlic from the supermarket,Grocery
get chicken and cereal,Grocery
get some pasta at the market,Grocery
order some potatoes for the week,Grocery
order juice and vegetables,Grocery
pick up pasta and garlic,Grocery
pick up some chicken on the way home,Grocery
buy some apples online,Grocery
stock up on some oil on the way home,Grocery
grab shampoo and oil,Grocery
pick up juice and onions,Grocery
purchase garlic and sugar,Grocery
grab some snacks from cargills,Grocery
get bananas and sugar,Grocery
grab some eggs from the grocery store,Grocery
buy shampoo and fish,Grocery
order some flour from cargills,Grocery
stock up on oil and garlic,Grocery
grab bread and rice,Grocery
order bananas and tomatoes,Grocery
pick up rice and cheese,Grocery
order cheese and vegetables,Grocery
buy some tea for the week,Grocery
stock up on rice and onions,Grocery
pick up fruit and tomatoes,Grocery
get some tea from the supermarket,Grocery
remember to buy flour for the recipe,Grocery
purchase flour and sugar,Grocery
grab coffee and cereal,Grocery
stock up on some fish from keells,Grocery
purchase cereal and shampoo,Grocery
buy some coffee at the market,Grocery
buy some tea for dinner,Grocery
purchase some milk from cargills,Grocery
get butter and oil,Grocery
order tea and fruit,Grocery
purchase potatoes and juice,Grocery
pick up oil and juice,Grocery
buy some tea from keells,Grocery
grab some detergent online,Grocery
get rice and cereal,Grocery
buy some detergent for the party,Grocery
grab snacks and vegetables,Grocery
grab detergent and bread,Grocery
buy yogurt and oil,Grocery
remember to pick up eggs for the recipe,Grocery
stock up on some soap from the local shop in veyangoda,Grocery
order some chicken from the grocery store,Grocery
stock up on pasta and coffee,Grocery
pick up snacks and juice,Grocery
order some apples for dinner,Grocery
grab snacks and onions,Grocery
get some cereal from cargills,Grocery
stock up on fish and eggs,Grocery
stock up on some salt for the week,Grocery
pick up fruit and rice,Grocery
purchase cheese and eggs,Grocery
buy some eggs on the way home,Grocery
get some oil for dinner,Grocery
get juice and tomatoes,Grocery
get some beef for the week,Grocery
remember to buy pasta for the recipe,Grocery
pick up some sugar from the grocery store,Grocery
buy coffee and snacks,Grocery
buy some cereal for the party,Grocery
get some yogurt online,Grocery
order onions and soap,Grocery
stock up on tomatoes and juice,Grocery
get tomatoes and yogurt,Grocery
grab some tomatoes for the week,Grocery
order milk and fruit,Grocery
pick up rice and butter,Grocery
pick up some chicken from cargills,Grocery
order onions and detergent,Grocery
pick up butter and yogurt,Grocery
grab milk and tea,Grocery
remember to buy tea for the recipe,Grocery
purchase some fish from cargills,Grocery
purchase some tea from the supermarket,Grocery
order juice and yogurt,Grocery
buy flour and snacks,Grocery
remember to pick up eggs for dinner,Grocery
purchase fruit and snacks,Grocery
buy soap and coffee,Grocery
remember to buy tomatoes for lunch,Grocery
remember to pick up pasta for the recipe,Grocery
purchase some tea for meal prep,Grocery
order bananas and cheese,Grocery
